,name,Gender,Eye color,Race,Hair color,Height,Publisher,Skin color,Alignment,Weight
698,Violet Parr,Female,violet,Human,Black,137.0,Dark Horse Comics,-,good,41.0
725,X-23,Female,green,Mutant / Clone,Black,155.0,Marvel Comics,-,good,50.0
139,Buffy,Female,green,Human,Blond,157.0,Dark Horse Comics,-,good,52.0
601,Silverclaw,Female,brown,-,Black,157.0,Marvel Comics,-,good,50.0
25,Angel Salvadore,Female,brown,-,Black,163.0,Marvel Comics,-,good,54.0
44,Armor,Female,black,-,Black,163.0,Marvel Comics,-,good,50.0
171,Cheetah,Female,green,Human,Blond,163.0,DC Comics,-,bad,50.0
497,Nova,Female,white,Human / Cosmic,Red,163.0,Marvel Comics,gold,good,59.0
656,Tempest,Female,brown,-,Black,163.0,Marvel Comics,-,good,54.0
710,Wasp,Female,blue,Human,Auburn,163.0,Marvel Comics,-,good,50.0
24,Angel Dust,Female,yellow,Mutant,Black,165.0,Marvel Comics,-,good,57.0
43,Ariel,Female,purple,-,Pink,165.0,Marvel Comics,-,good,59.0
65,Batgirl IV,Female,green,Human,Black,165.0,DC Comics,-,good,52.0
96,Black Canary,Female,blue,Human,Blond,165.0,DC Comics,-,good,58.0
114,Blink,Female,green,Mutant,Magenta,165.0,Marvel Comics,pink,good,56.0
129,Boom-Boom,Female,blue,Mutant,Blond,165.0,Marvel Comics,-,good,55.0
197,Dagger,Female,blue,-,Blond,165.0,Marvel Comics,-,good,52.0
256,Firebird,Female,brown,-,Black,165.0,Marvel Comics,-,good,56.0
313,Hawkeye II,Female,blue,Human,Black,165.0,Marvel Comics,-,good,57.0
370,Jolt,Female,blue,-,Black,165.0,Marvel Comics,-,good,49.0
371,Jubilee,Female,red,Mutant,Black,165.0,Marvel Comics,-,good,52.0
406,Light Lass,Female,blue,-,Red,165.0,DC Comics,-,good,54.0
442,Meltdown,Female,blue,-,Blond,165.0,Marvel Comics,-,good,54.0
544,Raven,Female,indigo,Human,Black,165.0,DC Comics,-,neutral,50.0
612,Songbird,Female,green,-,Red / White,165.0,Marvel Comics,-,good,65.0
