,name,Gender,Eye,Race,Hair color,Height,Publisher,Skin,Alignment,Weight
0,A-Bomb,Male,yellow,Human,No Hair,203.0,Marvel Comics,-,good,441.0
1,Abe Sapien,Male,blue,Icthyo Sapien,No Hair,191.0,Dark Horse Comics,blue,good,65.0
2,Abin Sur,Male,blue,Ungaran,No Hair,185.0,DC Comics,red,good,90.0
3,Abomination,Male,green,Human / Radiation,No Hair,203.0,Marvel Comics,-,bad,441.0
5,Absorbing Man,Male,blue,Human,No Hair,193.0,Marvel Comics,-,bad,122.0
7,Adam Strange,Male,blue,Human,Blond,185.0,DC Comics,-,good,88.0
8,Agent 13,Female,blue,-,Blond,173.0,Marvel Comics,-,good,61.0
9,Agent Bob,Male,brown,Human,Brown,178.0,Marvel Comics,-,good,81.0
10,Agent Zero,Male,-,-,-,191.0,Marvel Comics,-,good,104.0
11,Air-Walker,Male,blue,-,White,188.0,Marvel Comics,-,bad,108.0
12,Ajax,Male,brown,Cyborg,Black,193.0,Marvel Comics,-,bad,90.0
13,Alan Scott,Male,blue,-,Blond,180.0,DC Comics,-,good,90.0
16,Alfred Pennyworth,Male,blue,Human,Black,178.0,DC Comics,-,good,72.0
17,Alien,Male,-,Xenomorph XX121,No Hair,244.0,Dark Horse Comics,black,bad,169.0
19,Amazo,Male,red,Android,-,257.0,DC Comics,-,bad,173.0
20,Ammo,Male,brown,Human,Black,188.0,Marvel Comics,-,bad,101.0
22,Angel,Male,blue,-,Blond,183.0,Marvel Comics,-,good,68.0
24,Angel Dust,Female,yellow,Mutant,Black,165.0,Marvel Comics,-,good,57.0
25,Angel Salvadore,Female,brown,-,Black,163.0,Marvel Comics,-,good,54.0
27,Animal Man,Male,blue,Human,Blond,183.0,DC Comics,-,good,83.0
28,Annihilus,Male,green,-,No Hair,180.0,Marvel Comics,-,bad,90.0
29,Ant-Man,Male,blue,Human,Blond,211.0,Marvel Comics,-,good,122.0
30,Ant-Man II,Male,blue,Human,Blond,183.0,Marvel Comics,-,good,86.0
31,Anti-Monitor,Male,yellow,God / Eternal,No Hair,61.0,DC Comics,-,bad,-99.0
33,Anti-Venom,Male,blue,Symbiote,Blond,229.0,Marvel Comics,-,-,358.0
34,Apocalypse,Male,red,Mutant,Black,213.0,Marvel Comics,grey,bad,135.0
36,Aqualad,Male,blue,Atlantean,Black,178.0,DC Comics,-,good,106.0
37,Aquaman,Male,blue,Atlantean,Blond,185.0,DC Comics,-,good,146.0
38,Arachne,Female,blue,Human,Blond,175.0,Marvel Comics,-,good,63.0
39,Archangel,Male,blue,Mutant,Blond,183.0,Marvel Comics,blue,good,68.0
40,Arclight,Female,violet,-,Purple,173.0,Marvel Comics,-,bad,57.0
41,Ardina,Female,white,Alien,Orange,193.0,Marvel Comics,gold,good,98.0
42,Ares,Male,brown,-,Brown,185.0,Marvel Comics,-,good,270.0
43,Ariel,Female,purple,-,Pink,165.0,Marvel Comics,-,good,59.0
44,Armor,Female,black,-,Black,163.0,Marvel Comics,-,good,50.0
47,Atlas,Male,brown,Mutant,Red,183.0,Marvel Comics,-,good,101.0
48,Atlas,Male,blue,God / Eternal,Brown,198.0,DC Comics,-,bad,126.0
49,Atom,Male,blue,-,Red,178.0,DC Comics,-,good,68.0
51,Atom Girl,Female,black,-,Black,168.0,DC Comics,-,good,54.0
52,Atom II,Male,brown,Human,Auburn,183.0,DC Comics,-,good,81.0
55,Aurora,Female,blue,Mutant,Black,180.0,Marvel Comics,-,good,63.0
56,Azazel,Male,yellow,Neyaphem,Black,183.0,Marvel Comics,red,bad,67.0
59,Bane,Male,-,Human,-,203.0,DC Comics,-,bad,180.0
60,Banshee,Male,green,Human,Strawberry Blond,183.0,Marvel Comics,-,good,77.0
61,Bantam,Male,brown,-,Black,165.0,Marvel Comics,-,good,54.0
